Dép.;Code;Nom de la commune;Population totale au 01-01-2007;Taux communaux;;;;;Taux intercommunaux;;;;


;;;;taxe d'habi- tation;foncier bâti;foncier non bâti;taxe professionnelle(*);TEOM;taxe d'habi- tation;foncier bâti;foncier non bâti;taxe professionnelle;TEOM
44;44215;Vertou;20773;18,51;20,07;68,97;;;;;;21,62;8,32
45;45004;Amilly;12227;20,5;30,34;73,72;;;;;;18,95;
45;45004;Amilly;0;0;0;0;0;0;0,0817;0,121;0,294;0;
45;45068;Châlette-sur-Loing;14359;21,09;29,95;68,07;;;;;;18,95;
45;45068;Châlette-sur-Loing;0;0;0;0;0;0;0,129;0,183;0,416;0;
45;45147;Fleury-les-Aubrais;20875;22,72;37,63;86,54;17,8;;;;;18;8,73
45;45155;Gien;16125;14,19;20;48,68;;;;;;12,13;14,85
45;45208;Montargis;16427;20,5;35,22;44,32;;;;;;18,95;
45;45208;Montargis;0;0;0;0;0;0;0,0893;0,152;0,193;0;
45;45232;Olivet;20450;17,04;28,13;79,72;18,15;;;;;18;8,73
45;45234;Orléans;116559;20,99;29,81;39,6;19,18;;;;;18;8,73
45;45284;Saint-Jean-de-Braye;18395;15,78;28,16;39,03;18,39;;;;;18;8,73
45;45285;Saint-Jean-de-la-Ruelle;17010;15,97;32,71;82,45;19,37;;;;;18;8,73
45;45302;Saran;15053;15,11;28,02;65,55;19,85;;;;;18;8,73
46;46042;Cahors;21432;15,03;34,73;151,26;;;;;;18,67;11,63
46;46102;Figeac;10482;11,02;22,97;162,67;18,31;;;;;18,17;9,95
47;47001;Agen;32180;19,14;33,52;71,98;16,96;;;;;17,41;6,49
47;47157;Marmande;17674;14,33;37,83;107,77;18,08;;;;;17,78;9,49
47;47323;Villeneuve-sur-Lot;24134;17,46;37,55;125,57;19,36;;;;;17,81;9,66
48;48095;Mende;13103;12,49;28,67;198,8;;;;;;14,79;8,91
49;49007;Angers;156327;16,9;31,49;36,83;;;;;;15,7;8,03
49;49015;Avrillé;13267;15,96;28,41;41,92;;;;;;15,7;7,88
49;49099;Cholet;56320;14;23,49;39,77;;;;;;15,41;10,18
49;49246;Les Ponts-de-Cé;12038;13,93;24,5;48,07;;;;;;15,7;9,92
49;49267;Saint-Barthélemy-d'Anjou;10231;14,6;23,3;53,16;;;;;;15,7;7,82
49;49328;Saumur;31700;15,41;22,51;42,98;13,56;;;;;12,94;11,77
49;49353;Trélazé;11156;14,98;29,98;63,92;;;;;;15,7;9,11
50;50129;Cherbourg-Octeville;44108;13,32;19,43;40,99;12,41;;8,13;10,95;27,16;6,25;11,5
50;50147;Coutances;11479;14,84;19,7;42,51;12,6;8;0,74;1,03;1,83;12,56;
50;50173;Equeurdreville-Hainneville;18565;9,56;15,82;39,45;12,62;;8,13;10,95;27,16;6,25;11,5
50;50218;Granville;13486;13,12;22,06;47,53;14,3;;1,87;3,31;5,11;2,02;9,23
50;50502;Saint-Lô;21585;14,08;17,81;39,71;12,17;;3,18;4,25;4,95;2,58;7,95
50;50602;Tourlaville;17918;8,94;14,68;38,3;8,17;;8,13;10,95;27,16;6,25;11,5
51;51108;Châlons-en-Champagne;50338;29,06;28,1;40,85;17,46;;;;;16,31;10,12
51;51230;Epernay;27033;19,46;24,53;33,45;17,2;;9,81;7,83;7,28;4,1;0
51;51454;Reims;191325;20,75;30,71;30,72;21,56;;;;;20,85;
51;51573;Tinqueux;10221;16,11;15,71;28,2;16,71;;;;;20,85;
51;51649;Vitry-le-François;17234;24,61;27,1;24,49;12,44;;;;;11,45;6,96
52;52121;Chaumont;28365;18,65;34,65;48,57;15,78;15,22;1,01;1,87;1,58;0,825;
52;52269;Langres;10392;14,85;25,92;40,76;13,1;12,53;0,832;1,54;1,65;0,684;
52;52448;Saint-Dizier;32707;11,47;24,65;33,17;14,8;;0,758;1,41;1,66;14,52;10
53;53062;Château-Gontier;11708;11,41;19,65;39,67;15,35;;2,53;4,35;7,63;15,33;7,63
53;53130;Laval;54379;17,78;22,85;32,03;;;;;;13,9;8,12
53;53147;Mayenne;14627;13,27;20,02;42,86;14,78;;;;;14,7;7,14
53;53147;Mayenne;0;0;0;0;0;0;0,0175;0,0263;0,0564;0;
54;54274;Jarville-la-Malgrange;10087;10,89;12,16;18,47;19,73;;7,65;7,89;10,08;20,85;9,15
54;54304;Laxou;15898;7,81;8,02;14,3;19,79;;7,65;7,89;10,08;20,85;9,15
54;54323;Longwy;14890;13,14;21,08;18,9;12,38;;4,98;6,15;9,33;4,05;
54;54329;Lunéville;21112;19,85;25,63;50,79;15,43;;0;0;0;13,48;13,03
54;54395;Nancy;105830;10,87;11,84;16,67;22,17;;7,65;7,89;10,08;20,85;9,15
54;54431;Pont-à-Mousson;15018;8,9;13,04;27,3;17,55;;;;;17,66;7,7
54;54482;Saint-Max;11038;8,29;8,4;12,93;20,26;;7,65;7,89;10,08;20,85;9,15
54;54528;Toul;17419;15,09;15,63;8,05;12,18;;2,64;2,78;2,04;2,24;10,17
54;54547;Vandoeuvre-lès-Nancy;32473;11,43;12,03;12,08;20,97;;7,65;7,89;10,08;20,85;9,15
54;54578;Villers-lès-Nancy;16039;7,87;7,78;4,98;21,84;;7,65;7,89;10,08;20,85;9,15
55;55029;Bar-le-Duc;18079;18,57;32,37;56,55;12,16;;;;;11,18;10,55
55;55545;Verdun;21267;1,88;4,16;8,86;2,85;;12,77;18,25;30,3;11,71;6,94
56;56007;Auray;11322;15,88;27,42;59,84;11,87;;;;;10,69;9,52
56;56083;Hennebont;13842;15,83;32,9;63,06;;;;;;15,9;5,64
56;56098;Lanester;23144;15,36;27,63;48,83;;;;;;15,9;6,71
56;56121;Lorient;61844;17,51;31,67;67,13;;;;;;15,9;7,41
56;56162;Ploemeur;19169;16,51;29,36;42,11;;;;;;15,9;6,51
56;56178;Pontivy;15044;14,46;25,89;52,56;12,51;;;;;11,01;7,5
56;56206;Saint-Avé;10549;13,99;21,69;38,54;;;;;;14,96;8,61
56;56260;Vannes;54773;14,82;18,42;48,67;;;;;;14,96;8,82
57;57058;Behren-lès-Forbach;10188;12,25;13,7;38,58;11,7;;0;0;0;14,46;18,4
57;57160;Creutzwald;14614;7,91;9,89;37,6;;;0,862;1,04;3,81;7,97;7,34
57;57206;Fameck;12822;14,01;12,09;100;12,98;;0;0;0;12,22;7,85
57;57221;Florange;10900;13,37;8,5;45,58;11,42;;0;0;0;12,22;7,85
57;57227;Forbach;23281;19,93;21,59;77,05;14,61;;0;0;0;14,46;12,31
57;57240;Freyming-Merlebach;14691;16,6;16,89;64,66;17,37;;;;;13,4;
57;57306;Hayange;15421;16,75;14,7;87,9;13,26;;0;0;0;12,22;7,85
57;57433;Maizières-lès-Metz;10632;12,64;13,56;78,36;12,43;;;;;8,77;5,56
57;57447;Marly;10330;13,79;12,81;67,53;14,13;;;;;15,63;7,66
57;57463;Metz;127498;17,06;15,62;70,35;16,72;;;;;15,63;9,88
57;57480;Montigny-lès-Metz;24420;14,1;13,45;62,91;14,04;;;;;15,63;10,4
57;57591;Rombas;10837;14,92;14,6;95,14;18,42;;0,848;0,961;4,72;0,841;10,39
57;57606;Saint-Avold;17473;14,58;5,51;63,98;9,88;;0,766;0,456;3,02;0,557;
57;57630;Sarrebourg;14044;8,8;10,43;25,31;9,86;;0,9;1,08;3,46;0,94;5,37
57;57631;Sarreguemines;23774;16,46;19,76;42,33;15,93;;;;;14,43;10,99
57;57660;Stiring-Wendel;13255;12,57;13,5;41,14;14,09;;0;0;0;14,46;16,54
57;57672;Thionville;42205;19,52;19,06;80,93;16,05;8,52;;;;14,94;
57;57751;Woippy;13867;11,63;9,83;61,15;13,35;;;;;15,63;10
57;57757;Yutz;16316;15,46;24,31;78,14;15,1;10,25;;;;14,94;
58;58086;Cosne-Cours-sur-Loire;11834;11,3;18,14;79,66;;;;;;12,92;8,46
58;58194;Nevers;43082;20,72;28,18;95,25;16,62;;;;;15,32;6,35
58;58303;Varennes-Vauzelles;10489;9,57;14,34;62,51;12,73;;;;;15,32;5,09
59;59009;Villeneuve-d'Ascq;65706;30,56;28,38;87,04;24,65;;;;;23,21;15,41
59;59014;Anzin;14238;19,82;23,21;88,78;21,96;;;;;18,95;12,07
59;59014;Anzin;0;0;0;0;0;0;4,95;5,8;22,2;0;
59;59017;Armentières;25979;31,92;28,68;48,52;25,32;;;;;23,21;15,41
59;59043;Bailleul;14415;26,81;18;49,86;;;;;;15;20,5
59;59043;Bailleul;0;0;0;0;0;0;0,601;0,404;1,12;0;
59;59090;Bondues;10841;31,64;24,73;52,01;22,97;;;;;23,21;15,41
59;59090;Bondues;0;0;0;0;0;0;0,571;0,446;0,939;0;
59;59112;Bruay-sur-l'Escaut;11947;20,23;40,14;76,94;20,13;;;;;18,95;12,07
59;59122;Cambrai;34993;22,99;18,12;28,66;;;;;;14,18;10,04
59;59139;Caudry;13697;19,37;19,51;44,4;19,35;;;;;18,42;16,6
59;59152;Comines;12008;31,91;21,45;67,76;23,83;;;;;23,21;15,41
59;59152;Comines;0;0;0;0;0;0;0,337;0,227;0,717;0;
59;59153;Condé-sur-l'Escaut;10607;45,06;50,28;124,42;24,99;;;;;18,95;12,07
59;59155;Coudekerque-Branche;24487;31,14;34,64;96,73;24,47;;;;;24,46;17,42
59;59155;Coudekerque-Branche;0;0;0;0;0;0;3,76;4,18;11,7;0;
59;59163;Croix;20832;31,86;22,53;26,16;23,03;;;;;23,21;15,41
59;59172;Denain;20584;24,18;26,06;67,22;22,82;;;;;19,14;0
59;59172;Denain;0;0;0;0;0;0;0,899;0,968;2,5;0;
59;59178;Douai;44742;21,84;21,84;44,14;13,96;;;;;12,83;12,56
59;59179;Douchy-les-Mines;10497;20,05;28,72;97,66;23,25;;;;;19,14;0
59;59179;Douchy-les-Mines;0;0;0;0;0;0;0,416;0,596;2,03;0;
59;59183;Dunkerque;72333;29,46;28,06;82,98;24,86;;;;;24,46;17,42
59;59183;Dunkerque;0;0;0;0;0;0;1,38;1,31;3,89;0;
59;59220;Faches-Thumesnil;15979;33,13;28,96;44,54;24,35;;;;;23,21;15,41
59;59249;Fourmies;14231;25,53;25,65;75,98;;;0;0;0;23,55;0
59;59249;Fourmies;0;0;0;0;0;0;1,77;1,78;5,26;0;
59;59271;Grande-Synthe;23560;26,99;19,03;114,78;24,29;;;;;24,46;17,42
59;59273;Gravelines;12769;24,15;28,56;81;24,28;;;;;24,46;17,42
59;59273;Gravelines;0;0;0;0;0;0;0,881;1,04;2,95;0;
59;59279;Halluin;19067;27,86;27,51;52,17;23,11;;;;;23,21;15,41
59;59279;Halluin;0;0;0;0;0;0;0,0834;0,0769;0,146;0;
59;59286;Haubourdin;15086;32,5;18,61;69,14;21,79;;;;;23,21;15,41
59;59286;Haubourdin;0;0;0;0;0;0;2,4;1,38;5,11;0;
59;59291;Hautmont;16201;25,57;26,69;82,92;14,74;;;;;14,43;
59;59295;Hazebrouck;22114;19,82;14,12;43,62;15,19;;;;;;
59;59295;Hazebrouck;0;0;0;0;0;0;0,374;0,266;0,823;0,549;15,11
59;59299;Hem;19814;29,8;25,9;59,5;22,73;;;;;23,21;15,41
59;59324;Jeumont;10953;29,14;37,13;79,85;18,35;;;;;17,62;
59;59328;Lambersart;28369;40;29,98;42,47;24,45;;;;;23,21;15,41
59;59328;Lambersart;0;0;0;0;0;0;1,12;0,836;1,19;0;
59;59350;Lille;219597;34;24,03;16,65;23,38;;;;;23,21;15,41
59;59360;Loos;21447;29,85;26,74;72,89;23,78;;;;;23,21;15,41
59;59360;Loos;0;0;0;0;0;0;1,81;1,62;4,42;0;
59;59367;Lys-lez-Lannoy;13146;26,08;27,69;52;22,57;;;;;23,21;15,41
59;59368;La Madeleine;22696;26,94;26,93;14,62;22,99;;;;;23,21;15,41
59;59378;Marcq-en-Baroeul;37679;29,19;15,1;20,61;22,76;;;;;23,21;15,41
59;59383;Marly;11788;17,78;27,06;57,17;19,28;;;;;18,95;12,07
59;59386;Marquette-lez-Lille;10859;41,65;38,89;64,32;25,16;;;;;23,21;15,41
59;59386;Marquette-lez-Lille;0;0;0;0;0;0;1,87;1,74;2,88;0;
59;59392;Maubeuge;34051;30,07;26,19;46,63;17,41;;;;;17,62;
59;59410;Mons-en-Baroeul;23135;19,04;17,43;48,85;21,5;;;;;23,21;15,41
59;59421;Mouvaux;13341;30,37;19,42;78,75;22,76;;;;;23,21;15,41
59;59491;Raismes;13811;18,49;32,99;89,38;22,97;;;;;19,14;0
59;59491;Raismes;0;0;0;0;0;0;3,93;7,01;19;0;
59;59507;Ronchin;18105;28,05;20,8;57,13;23,19;;;;;23,21;15,41
59;59508;Roncq;12794;32,12;31,02;52,39;23,06;;;;;23,21;15,41
59;59512;Roubaix;98039;31,79;29,12;66,82;24,89;;;;;23,21;15,41
59;59512;Roubaix;0;0;0;0;0;0;2,07;1,9;4,35;0;
59;59526;Saint-Amand-les-Eaux;17331;25,4;35,61;85,95;20,98;;;;;19,14;0
59;59527;Saint-André-lez-Lille;10220;35,91;23,97;30,51;23,22;;;;;23,21;15,41
59;59527;Saint-André-lez-Lille;0;0;0;0;0;0;1,07;0,716;0,91;0;
59;59540;Saint-Pol-sur-Mer;23618;33,84;36,55;87,39;24,79;;;;;24,46;17,42
59;59540;Saint-Pol-sur-Mer;0;0;0;0;0;0;4,46;4,82;11,5;0;
59;59544;Saint-Saulve;11188;15,4;17,62;54,24;17,26;;;;;18,95;12,07
59;59560;Seclin;12192;25;25;43;23,93;;;;;23,21;15,41
59;59560;Seclin;0;0;0;0;0;0;0,228;0,228;0,392;0;
59;59569;Sin-le-Noble;17134;23,1;21,33;47,75;14,64;;;;;12,83;3,5
59;59574;Somain;12129;20,46;27,92;73,71;17,82;;;;;19,21;9,04
59;59574;Somain;0;0;0;0;0;0;0,29;0,396;1,04;0;
59;59599;Tourcoing;94204;34,67;31,7;49,5;24,3;;;;;23,21;15,41
59;59599;Tourcoing;0;0;0;0;0;0;0,238;0,214;0,334;0;
59;59606;Valenciennes;42343;34,49;29,14;55,22;20,93;;;;;18,95;12,07
59;59606;Valenciennes;0;0;0;0;0;0;0,402;0,339;0,643;0;
59;59616;Vieux-Condé;10764;33,94;39,38;124,33;24,28;;;;;18,95;12,07
59;59646;Wasquehal;18716;34,87;31,44;69,1;25,17;;;;;23,21;15,41
59;59646;Wasquehal;0;0;0;0;0;0;3,5;3,15;7,04;0;
59;59648;Wattignies;14617;29,31;24,24;52,9;23,1;;;;;23,21;15,41
59;59650;Wattrelos;42984;33,11;47,59;113,52;25,2;;;;;23,21;15,41
60;60057;Beauvais;57355;15,37;33,02;63,48;16,64;;;;;15,67;
60;60141;Chantilly;11200;10,65;14,37;30,83;14,66;;1,29;1,58;2,96;1,31;8,87
60;60159;Compiègne;43380;12,69;23,04;51,34;13,24;;;;;11,85;8,85
60;60175;Creil;31947;19,21;21,01;82,15;14,86;;5,13;9,29;32,71;3,76;
60;60176;Crépy-en-Valois;14704;10,75;25,95;72,91;13,46;;1,96;3,8;7,5;2,32;10,31
60;60395;Méru;12901;16,33;34,4;68,08;14,62;;;;;13,65;12,95
60;60414;Montataire;12173;7,63;32,4;77,42;15,44;;5,13;9,29;32,71;3,76;
60;60463;Nogent-sur-Oise;19659;14,35;27,45;53,01;15,73;;5,13;9,29;32,71;3,76;
60;60471;Noyon;14879;13,88;24,69;56,8;10,57;;4,98;8,85;19,31;3,61;
60;60509;Pont-Sainte-Maxence;12587;15,25;17,79;76,82;15,51;;;;;13,76;14
60;60612;Senlis;17192;14,14;22,79;50,23;13,98;;0,583;0,981;1,76;0,539;13,25
61;61001;Alençon;30379;6,02;11,8;25,87;7,12;;7,48;10,59;22,12;5,7;8,17
61;61006;Argentan;17448;15,97;26,88;64,43;14,99;;0,96;1,71;2,2;14,93;11,08
61;61169;Flers;17552;14,34;24,91;71,43;;;;;;12,43;7,78
62;62014;Aire-sur-la-Lys;10011;16,47;19,59;43,56;13,56;;7,21;9,25;16,81;5,9;10,61
62;62041;Arras;43566;19,98;22,1;52,97;19,5;;4,6;5,22;12,4;18,64;11,34
62;62048;Auchel;11525;21,09;31,98;67,59;20,02;;;;;14,95;
62;62048;Auchel;0;0;0;0;0;0;3,09;4,69;9,91;0;
62;62065;Avion;18422;22,91;36,85;93,54;21,46;;;;;20,73;
62;62108;Berck;15011;15,93;29,93;92,91;23,98;;0,685;1,21;2,08;21,86;12,99
62;62119;Béthune;28522;26,3;41,96;80,67;17,83;;;;;14,95;
62;62160;Boulogne-sur-Mer;45508;30,14;32,62;67,08;22,12;8,79;0;0;0;21,72;
62;62178;Bruay-la-Buissière;24552;18,77;40,7;36,39;21,35;;;;;14,95;
62;62186;Bully-les-Mines;12157;16,05;32,08;80,44;21,69;;;;;20,73;
62;62193;Calais;78170;24,91;18,77;45,86;16,85;12,06;;;;16,1;
62;62215;Carvin;17891;15,57;29,84;100,77;23,72;;1,06;2,11;6,73;23,75;
62;62250;Courrières;10682;14,57;25;101,12;24,72;;1,06;2,11;6,73;23,75;
62;62318;Etaples;11316;18,89;24,83;56,75;14,05;;;;;14,98;10,7
62;62413;Harnes;13797;9,97;27,91;89,79;21,44;;;;;20,73;
62;62427;Hénin-Beaumont;25610;20,1;38,97;77,87;24,27;;1,06;2,11;6,73;23,75;
62;62498;Lens;36823;18,57;35,09;86,4;21,3;;;;;20,73;
62;62510;Liévin;33943;21,95;46,77;66,83;23,89;;;;;20,73;
62;62525;Longuenesse;13292;19;19,38;55,58;13,8;;;;;13,64;7,54
62;62570;Méricourt;11819;18,86;42,65;108,12;20,05;;;;;20,73;
62;62587;Montigny-en-Gohelle;10638;19,6;32,54;78,37;23,77;;1,06;2,11;6,73;23,75;
62;62617;Noeux-les-Mines;12069;8,77;34,2;85,8;14,39;;4,13;7,27;20,51;4,49;
62;62617;Noeux-les-Mines;0;0;0;0;0;0;0,155;0,595;1,55;0,404;
62;62637;Oignies;10587;14,18;36,14;82,96;24,23;;1,06;2,11;6,73;23,75;
62;62643;Outreau;15442;27,63;29,57;65,29;21,77;;0;0;0;21,72;
62;62667;Le Portel;10866;26,45;41,12;73,85;22,42;4,93;0;0;0;21,72;
62;62758;Saint-Martin-Boulogne;11820;24,5;27,46;58,86;22,19;3,82;0;0;0;21,72;
62;62765;Saint-Omer;16595;25,07;26,45;48,06;14,69;;;;;13,64;7,96
62;62771;Sallaumines;10748;17,88;40,96;57,16;22,27;;;;;20,73;
63;63014;Aubière;10104;10,58;14,36;59,48;14,82;;;;;15,7;6,94
63;63032;Beaumont;11852;11,8;18,97;81,09;14,28;;;;;15,7;6,94
63;63075;Chamalières;18802;11,96;21,43;41,2;14,63;;;;;15,7;6,94
63;63113;Clermont-Ferrand;141004;17,01;21,07;51,62;15,85;;;;;15,7;6,94
63;63124;Cournon-d'Auvergne;19292;19,59;20,9;141,43;17,82;;;;;15,7;6,94
63;63164;Gerzat;10408;13,82;17,65;78,97;15,81;;;;;15,7;6,94
63;63178;Issoire;14778;11,77;16,97;102,26;12,84;;;;;12,83;11,02
63;63284;Pont-du-Château;10728;15,5;15,2;107,3;16,51;;;;;15,7;6,94
63;63284;Pont-du-Château;0;0;0;0;0;0;0,105;0,103;0,731;0;
63;63300;Riom;19324;16,72;26,03;84,2;14,32;;;;;14,07;9,78
63;63300;Riom;0;0;0;0;0;0;0,0479;0,0745;0,241;0;
63;63430;Thiers;13950;13,67;23,77;89,03;15,95;;0,24;0,417;1,45;0,283;9,15
64;64024;Anglet;36742;20,85;14,14;26,97;20,74;;;;;22,59;9,1
64;64102;Bayonne;41778;25,92;18,58;48,01;23,8;;;;;22,59;9,1
64;64122;Biarritz;30739;19,05;14,1;24,26;23,32;;;;;22,59;9,1
64;64122;Biarritz;0;0;0;0;0;0;1,33;0,988;1,7;0;
64;64129;Billère;13668;15,48;21,12;38,28;;;;;;24,96;8,4
64;64260;Hendaye;13898;13,03;12;30,53;14,56;8,27;;;;13,83;
64;64260;Hendaye;0;0;0;0;0;0;0,934;0,86;2,19;0;
64;64335;Lescar;10342;11,31;10,69;61,3;;;;;;24,96;8,4
64;64348;Lons;13008;9,42;16,52;30,75;;;;;;24,96;8,4
64;64422;Oloron-Sainte-Marie;11740;8,14;10,4;26,66;16,5;;;;;14,62;9,5
64;64430;Orthez;10936;14,76;19,48;43,49;;;;;;16,77;8,75
64;64445;Pau;80610;22,48;25,1;52,54;;;;;;24,96;8,56
64;64483;Saint-Jean-de-Luz;13632;9,81;9,6;16,34;12,85;;;;;13,83;
64;64483;Saint-Jean-de-Luz;0;0;0;0;0;0;1,04;1,01;1,73;0;6,52
65;65286;Lourdes;15679;10,87;16,06;26,78;15,4;;;;;15,13;10,51
65;65440;Tarbes;49343;19,6;26,26;78,58;;;;;;18,61;10,78
66;66037;Canet-en-Roussillon;11351;14,71;19,21;44,25;;;;;;19,51;12,17
66;66136;Perpignan;107241;16,68;24,44;37,26;;;;;;19,51;8,22
66;66172;Saint-Estève;11904;12,62;18,19;43,91;;;;;;19,51;11,37
67;67043;Bischheim;16964;23,88;23,16;87,85;17,74;;;;;18,52;10,7
67;67046;Bischwiller;11753;10,86;9,33;30,84;10,78;;6,49;5,75;22,62;7,21;
67;67180;Haguenau;33943;14;11,31;56,28;9,53;;;;;9,54;
67;67204;Hoenheim;10767;16,98;16,8;69,73;16,88;;;;;18,52;10,7
67;67218;Illkirch-Graffenstaden;25183;17,03;14,91;59;18,58;;;;;18,52;10,7
67;67267;Lingolsheim;16944;17,03;13,71;55,68;18,11;;;;;18,52;10,7
67;67348;Obernai;11070;13,99;9,99;46,01;6,52;;2,09;1,61;7,9;1,43;
67;67348;Obernai;0;0;0;0;0;0;0,273;0,195;0,897;0,167;
67;67365;Ostwald;10820;16,99;13,87;60,8;16,53;;;;;18,52;10,7
67;67437;Saverne;11534;9,65;13,23;34,14;10,68;;1,28;1,51;5,57;9,45;
67;67437;Saverne;0;0;0;0;0;0;0,199;0,273;0,703;0;
67;67447;Schiltigheim;30991;18,93;15,22;44,22;17,41;;;;;18,52;10,7
67;67462;Sélestat;17514;12,79;11,93;42,95;12,17;;3,46;3,53;13,27;3,39;
67;67482;Strasbourg;267051;24,06;21,3;68,69;19,89;;;;;18,52;10,7
68;68063;Cernay;10790;6,9;8,84;37,5;8,3;;2,16;2,75;18,58;2,42;
68;68066;Colmar;67163;17,96;18,25;54,34;13,26;;;;;12,25;8,5
68;68112;Guebwiller;11883;8,74;10,94;48,08;10,94;;1,16;1,42;7,38;1,7;13,69
68;68112;Guebwiller;0;0;0;0;0;0;0,665;0,833;3,66;1,3;
68;68154;Illzach;15449;12,58;12,89;46,03;17,13;7,08;;;;;
68;68166;Kingersheim;12098;10,81;15,32;53,98;18,3;;0,767;1,02;3,14;17,98;10,78
68;68224;Mulhouse;112002;18,5;23,46;95,82;18,29;;0,767;1,02;3,14;17,98;13,9
68;68271;Riedisheim;12369;14,38;17,07;50,02;;;;;;12,05;8,42
68;68278;Rixheim;12803;15,2;16,12;64,42;;;;;;8,74;7,15
68;68297;Saint-Louis;20321;15,08;15,85;112,9;14,05;;3,53;3,44;9,39;3,06;9,24
68;68375;Wittelsheim;10297;11,33;18,79;74,85;11,95;;;;;;
68;68376;Wittenheim;15159;9,79;17,89;47,66;15,51;;0,767;1,02;3,14;17,98;13,57
69;69027;Brignais;11294;9,91;15,49;45,5;15,02;;;;;14,82;6,6
69;69027;Brignais;0;0;0;0;0;0;0,132;0,206;0,605;0;
69;69029;Bron;38058;19,17;18,12;28,94;20,99;;;;;20,09;5,37
69;69029;Bron;0;0;0;0;0;0;0,283;0,268;0,427;0;
69;69034;Caluire-et-Cuire;41667;17,95;18,3;33,41;19,84;;;;;20,09;6,17
69;69034;Caluire-et-Cuire;0;0;0;0;0;0;0,0861;0,0877;0,16;0;
69;69081;Ecully;18774;14,52;14,47;21,55;18,88;;;;;20,09;5,67
69;69081;Ecully;0;0;0;0;0;0;0,385;0,384;0,572;0;
69;69089;Francheville;11431;16,39;18,99;66,44;20,67;;;;;20,09;5,26
69;69089;Francheville;0;0;0;0;0;0;1,49;1,73;6,04;0;
69;69091;Givors;18562;20,18;31,69;72,08;25,08;;;;;20,09;4,12
69;69123;Lyon;453187;20,19;16,11;18,2;19,98;;;;;20,09;7
69;69123;Lyon;0;0;0;0;0;0;0,0812;0,0648;0,0732;0;
69;69149;Oullins;25478;24,17;22,47;31,79;19,35;;;;;20,09;5,05
69;69149;Oullins;0;0;0;0;0;0;1,35;1,25;1,77;0;
69;69152;Pierre-Bénite;10015;14,81;14,88;45,46;20,59;;;;;20,09;5,05
69;69152;Pierre-Bénite;0;0;0;0;0;0;0,244;0,245;0,749;0;
69;69199;Saint-Fons;15730;19,23;24,2;83,7;20,35;;;;;20,09;5,05
69;69199;Saint-Fons;0;0;0;0;0;0;1,18;1,49;5,14;0;
69;69202;Sainte-Foy-lès-Lyon;21449;19,92;18,49;32,48;20,28;;;;;20,09;5,05
69;69202;Sainte-Foy-lès-Lyon;0;0;0;0;0;0;0,437;0,405;0,712;0;
69;69204;Saint-Genis-Laval;19790;16,71;19,39;46,37;19,42;;;;;20,09;5,05
69;69204;Saint-Genis-Laval;0;0;0;0;0;0;0,062;0,0719;0,172;0;
69;69243;Tarare;10638;14,44;20,39;55,38;16,06;;3,38;4,71;9,87;4;7,7
69;69244;Tassin-la-Demi-Lune;18341;15,66;14,4;29,3;19,47;;;;;20,09;6,56
69;69244;Tassin-la-Demi-Lune;0;0;0;0;0;0;1,3;1,2;2,44;0;
69;69256;Vaulx-en-Velin;39466;21,6;25,44;73,35;21,27;;;;;20,09;6,52
69;69256;Vaulx-en-Velin;0;0;0;0;0;0;0,882;1,04;3;0;
69;69259;Vénissieux;56487;20,76;21,73;37,19;20,44;;;;;20,09;6,52
69;69259;Vénissieux;0;0;0;0;0;0;1,53;1,63;2,74;0;
69;69264;Villefranche-sur-Saône;33422;16,72;19,03;27,84;17,33;;;;;13,5;6,2
69;69266;Villeurbanne;127299;20,98;15,66;19,14;19,48;;;;;20,09;7
69;69266;Villeurbanne;0;0;0;0;0;0;0,0754;0,0563;0,0689;0;
69;69275;Décines-Charpieu;24324;17,06;18,78;99,18;20,58;;;;;20,09;5,59
69;69275;Décines-Charpieu;0;0;0;0;0;0;0,259;0,285;1,51;0;
69;69277;Genas;11214;7,09;20,08;45,57;;;;;;17,23;0
69;69277;Genas;0;0;0;0;0;0;1,59;4,52;10,2;0;
69;69282;Meyzieu;28238;18,28;17,06;78,25;20,36;;;;;20,09;5,05
69;69282;Meyzieu;0;0;0;0;0;0;0,343;0,32;1,47;0;
69;69283;Mions;11429;14,55;18,08;52,76;22,24;;;;;20,09;5,05
69;69283;Mions;0;0;0;0;0;0;1,39;1,72;5,03;0;
69;69286;Rillieux-la-Pape;28740;19,1;16,7;47,1;20,72;;;;;20,09;5,81
69;69286;Rillieux-la-Pape;0;0;0;0;0;0;0,205;0,179;0,506;0;
69;69290;Saint-Priest;41213;17,31;18,95;72,03;20,48;;;;;20,09;6,52
70;70285;Héricourt;10433;12,77;27,54;63,4;13,36;;;;;12,94;
70;70550;Vesoul;18882;9,72;23,78;39,95;10,89;;;;;9,8;9,97
71;71014;Autun;18085;16,99;27,01;55,64;16,51;;0,6;0,999;1,47;16,26;8,15
71;71076;Chalon-sur-Saône;52260;17,98;24,37;68,43;14,58;;;;;14,2;8,79
71;71153;Le Creusot;26758;18,13;28,18;67,34;14,65;;;;;15,32;10,41
71;71270;Mâcon;36068;14,9;22,83;29,53;17,04;;;;;16,01;7,15
71;71306;Montceau-les-Mines;21200;19,46;31,01;68,48;16,46;;;;;15,32;10,41
72;72003;Allonnes;12440;14,27;14,21;45,58;16,41;;4,59;11,33;17,86;7;6,1
72;72154;La Flèche;16900;15,04;28,51;40,93;;;;;;15,99;12,73
