Dép.;Code;Nom de la commune;Population totale au 01-01-2007;Taux communaux;;;;;Taux intercommunaux;;;;


;;;;taxe d'habi- tation;foncier bâti;foncier non bâti;taxe professionnelle(*);TEOM;taxe d'habi- tation;foncier bâti;foncier non bâti;taxe professionnelle;TEOM
13;13002;Allauch;19042;19,71;33,24;72,57;23,19;;1,95;1,88;2,26;23,43;6,61
13;13004;Arles;51614;24,33;27,65;55,79;26,29;12,83;;;;24,22;
13;13005;Aubagne;43083;20,26;31,37;46,64;;;;;;27,18;7,38
13;13007;Auriol;10787;20,95;24,19;84,6;;;;;;27,18;8,69
13;13014;Berre-l'Etang;13503;0,01;32,85;0,01;;;;;;19,44;10
13;13015;Bouc-Bel-Air;12430;20,22;23,11;32,75;;;;;;19;6,99
13;13026;Châteauneuf-les-Martigues;11538;11,88;13,7;34,48;26,45;;1,95;1,88;2,26;23,43;2,21
13;13027;Châteaurenard;13131;15,53;22,72;52,46;;10,3;;;;16,7;
13;13028;La Ciotat;31923;25,52;33,76;42;23,19;;1,95;1,88;2,26;23,43;8,88
13;13039;Fos-sur-Mer;15339;0,01;31,54;0,01;;;;;;26,36;1,89
13;13041;Gardanne;19679;20,79;20,96;31,36;28,03;0;;;;;
13;13047;Istres;40965;26,63;29,4;59,61;;;;;;26,36;3,04
13;13054;Marignane;34238;13,45;28,6;29,9;23,19;;1,95;1,88;2,26;23,43;11
13;13055;Marseille;807071;24,85;20,9;21,75;23,19;;1,95;1,88;2,26;23,43;14,8
13;13056;Martigues;44256;16,88;15,63;26,62;;;;;;24,71;0
13;13063;Miramas;23281;22,92;31,89;51,24;;;;;;26,36;11,5
13;13071;Les Pennes-Mirabeau;19247;14,33;25,16;24,66;;;;;;19;7,76
13;13075;Plan-de-Cuques;10544;18,97;22,72;41,32;23,19;;1,95;1,88;2,26;23,43;7,42
13;13077;Port-de-Bouc;16883;19,9;33,9;38,83;;;;;;24,71;0
13;13081;Rognac;11719;9,88;25,63;20,22;;;;;;19,44;10
13;13097;Saint-Martin-de-Crau;11282;19,77;24,36;44,19;22,29;8;;;;24,22;
13;13100;Saint-Rémy-de-Provence;10007;16,2;16,33;44;16,49;9,59;;;;15,97;
13;13103;Salon-de-Provence;38137;29,13;36,73;66,96;;;;;;19,44;10
13;13106;Septèmes-les-Vallons;10232;14,34;27,89;48,94;26,18;;1,95;1,88;2,26;23,43;5,13
13;13108;Tarascon;12991;12,13;19,66;58,16;22,45;10,11;;;;24,22;
13;13117;Vitrolles;37509;8,9;37,67;88,75;;;;;;19;6,47
14;14047;Bayeux;15403;8,25;16,18;28,89;11,94;;5,45;9,98;11,5;5,29;13,22
14;14118;Caen;117157;16,28;28,85;29,92;16,63;;;;;16,06;9,02
14;14327;Hérouville-Saint-Clair;24374;18,46;29,45;52,19;16,67;;;;;16,06;9,02
14;14341;Ifs;10906;10,41;26,37;40,63;15,99;;;;;16,06;9,02
14;14366;Lisieux;24080;13,96;28,96;35,44;13,87;;;;;12,34;11,1
14;14437;Mondeville;10678;5,55;16,59;16,68;15,44;;;;;16,06;9,02
14;14762;Vire;13861;13,77;22,19;30,09;10,5;;2,16;3,91;4,4;1,8;8,07
15;15014;Aurillac;32718;21,77;27,94;115,64;16,89;;;;;16,48;7,92
16;16015;Angoulême;46324;18,43;40,2;71,94;19,2;;;;;16,51;10
16;16102;Cognac;20126;8,14;19,1;58,75;;11,1;;;;12,14;
16;16374;Soyaux;10762;16,15;29,37;65,47;17,99;;;;;16,51;10
17;17299;Rochefort;27544;13,44;27,56;38,92;;;;;;16,4;
17;17300;La Rochelle;80055;18,75;33,09;54,85;;;;;;17,94;8,3
17;17306;Royan;17932;10,23;28,19;50;11,35;;;;;11,34;10,58
17;17415;Saintes;27723;15,55;30,52;46,3;16,51;;;;;16,35;
18;18033;Bourges;76075;16,15;22,26;33,32;17,19;9,67;;;;14,98;
18;18197;Saint-Amand-Montrond;11950;18,62;29,68;59,43;18,71;;2,42;3,79;6,01;2,5;17,26
18;18279;Vierzon;30743;20,48;22,83;49,17;16,5;;;;;16,45;11,29
19;19031;Brive-la-Gaillarde;51586;17,03;35,22;103,03;19,78;;;;;18,76;10,15
19;19272;Tulle;16906;12,34;34,44;98,57;20,26;;;;;18,9;
19;19272;Tulle;0;0;0;0;0;0;;;;;5,29
19;19275;Ussel;11316;8,35;18,8;93,93;14,5;;;;;14,73;9,04
21;21054;Beaune;22916;12,73;21,72;30,56;12,62;6,68;;;;10,05;
21;21166;Chenôve;16454;12,59;24,44;101,42;16,4;;;;;16,24;6,28
21;21171;Chevigny-Saint-Sauveur;10389;11,1;20,45;78,54;16,58;;;;;16,24;5,43
21;21231;Dijon;153813;20,48;25,09;79,54;16,47;;;;;16,24;6,58
21;21617;Talant;12332;15,14;28,08;92,15;17,12;;;;;16,24;4,15
22;22050;Dinan;11836;19,83;19,25;40,64;;;;;;14,72;10,88
22;22093;Lamballe;12481;20,02;24,24;87,42;16,62;;0,771;0,863;3,36;15,87;
22;22113;Lannion;19351;18,5;18,67;59,09;14,87;;;;;14,98;13,37
22;22136;Loudéac;10134;16,3;16,88;58,26;;;;;;13,07;
22;22187;Plérin;12988;18,63;23,52;98,52;;;0,404;0,429;1,67;17,7;5,54
22;22215;Ploufragan;11041;22,5;23,24;87,72;;;0,404;0,429;1,67;17,7;5,54
22;22278;Saint-Brieuc;48895;24,69;25,11;41,99;;;0,404;0,429;1,67;17,7;5,54
23;23096;Guéret;15286;18,61;22,2;70,34;;;0;0;0;15,88;7,34
24;24037;Bergerac;27201;12,74;31,62;123,4;16,25;;;;;15,9;9,51
24;24322;Périgueux;32294;13,89;42,42;100,49;18;;;;;17,03;10,2
24;24520;Sarlat-la-Canéda;10423;11,65;35,79;142,01;;;;;;18,15;13,36
25;25031;Audincourt;15793;15,96;20,66;17,02;16,44;;;;;14,36;4,42
25;25056;Besançon;122308;22,06;23,93;26,11;16,94;;;;;15,47;
25;25388;Montbéliard;28766;14,9;22,22;29,78;15,32;;;;;14,36;4,42
25;25462;Pontarlier;19321;10,87;14,32;33,18;11,94;;2,27;4,26;5,11;2,2;7,05
25;25580;Valentigney;12741;14;19,91;15,97;15,1;;;;;14,36;4,42
26;26057;Bourg-de-Péage;10080;13,62;30;50;14,19;;;;;13,72;8,32
26;26058;Bourg-lès-Valence;18910;10,39;20,14;46,02;15,99;;;;;;
26;26058;Bourg-lès-Valence;0;0;0;0;0;0;;;;;6,09
26;26198;Montélimar;32896;14,09;20,54;67,85;16,81;;;;;15,69;7,63
26;26235;Pierrelatte;12166;13,24;13,93;69,29;8,8;0;;;;;
26;26281;Romans-sur-Isère;33665;20,15;26,43;70,21;16,81;;;;;16,24;8,54
26;26362;Valence;66568;16,25;23,31;49,21;13,43;;;;;;
26;26362;Valence;0;0;0;0;0;0;;;;;6,09
27;27056;Bernay;11620;10,55;22,08;29,94;12,1;;2,02;4,48;6,74;2,37;13,85
27;27229;Evreux;54076;19,8;35,03;72,31;;;;;;16,76;11,79
27;27284;Gisors;11115;21,78;38,4;63,06;16,34;;3,04;5,48;6,06;2,4;16,86
27;27375;Louviers;18937;15,85;30,27;66,38;14,54;;;;;14,93;15,1
27;27681;Vernon;25003;14,72;30,51;63,45;14,15;;;;;12,14;14,18
27;27701;Val-de-Reuil;13796;17,42;40,24;92,84;15,43;;;;;14,93;15,1
28;28085;Chartres;42059;18,48;31,94;39,79;;;;;;15,49;11
28;28088;Châteaudun;15378;22,36;30,71;52,61;15,84;;0,097;0,142;0,193;0,077;15,73
28;28134;Dreux;32565;20,54;23,46;40,2;;;0;0;0;14,38;15,65
28;28134;Dreux;0;0;0;0;0;0;1,05;1,2;2,06;0;
28;28218;Lucé;18134;14,01;34,51;60,2;;;;;;15,49;11
28;28229;Mainvilliers;10268;15,11;33,01;48,08;;;;;;15,49;11
28;28280;Nogent-le-Rotrou;12484;15,86;24,03;50,65;15,31;;0,572;0,894;1,48;0,548;13,21
28;28404;Vernouillet;11720;15,95;24,96;45,73;;;0;0;0;14,38;15,65
28;28404;Vernouillet;0;0;0;0;0;0;0,824;1,29;2,36;0;
29;29019;Brest;156217;19,76;23,07;33,9;20,79;;3,08;2,87;5,66;20,13;3,92
29;29039;Concarneau;20021;17,06;22,01;64,01;17,86;;;;;17,28;4,79
29;29046;Douarnenez;16330;20,58;22,38;64,74;18,85;;;;;18,74;
29;29058;Fouesnant;10024;16,34;18,91;60,68;13,89;;;;;11,97;
29;29075;Guipavas;12862;18,51;15,54;36,38;17,87;;3,08;2,87;5,66;20,13;3,92
29;29103;Landerneau;15141;16,29;17,09;41,96;12,32;;;;;11,97;8,27
29;29151;Morlaix;16978;17,9;23,63;65,85;12,36;;;;;12;7,01
29;29189;Plougastel-Daoulas;12471;19,85;19,15;49,99;20,14;;3,08;2,87;5,66;20,13;3,92
29;29212;Plouzané;12265;22,69;24,39;51,01;20,45;;3,08;2,87;5,66;20,13;3,92
29;29232;Quimper;67127;18,12;19,04;58,78;16,42;;;;;16,25;9,15
29;29233;Quimperlé;11532;13,06;13,06;42,32;12,51;;;;;13,63;12,06
29;29235;Le Relecq-Kerhuon;11227;19,12;19,5;45,85;17,88;;3,08;2,87;5,66;20,13;3,92
2A;2A004;Ajaccio;54697;22,72;17,02;46,24;24,42;;;;;23,58;13,79
2A;2A247;Porto-Vecchio;10586;14,74;10,5;93,88;21,49;13,97;;;;;
2B;2B033;Bastia;39016;20,54;19,68;63,03;;10,4;;;;26,12;
30;30007;Alès;41054;20,45;33,32;64,58;18,16;;;;;17,37;11,96
30;30028;Bagnols-sur-Cèze;18561;12,64;21;67,5;16,03;10,34;;;;15,81;
30;30032;Beaucaire;13940;13,19;23,9;53,2;19,76;;;;;19,75;14
30;30189;Nîmes;137740;29,33;31,05;83,76;23,67;14,5;;;;22,77;
30;30258;Saint-Gilles;12201;15,83;29,87;100,27;21,07;17,5;;;;22,77;
30;30341;Vauvert;10392;13,96;28,04;81,91;19,72;;;;;18,87;12,2
30;30351;Villeneuve-lès-Avignon;12078;14,25;31,8;115,63;22,49;;;;;24,3;14,7
31;31044;Balma;12588;11,66;14,89;114,29;21,43;9,06;;;;20,02;
31;31069;Blagnac;20806;13,2;37,9;174,69;21,42;;;;;20,02;
31;31113;Castanet-Tolosan;11553;12,5;24,5;120;;;;;;19,44;
31;31149;Colomiers;32892;14,83;19,09;152,69;22,31;;;;;20,02;
31;31149;Colomiers;0;0;0;0;0;0;;;;;13
31;31157;Cugnaux;15183;18,46;28,88;157,04;20,74;9,6;;;;20,02;
31;31187;Fonsorbes;10912;14,5;25,15;116,11;21,94;;;;;;
31;31187;Fonsorbes;0;0;0;0;0;0;3,4;5,9;27,2;6,37;13
31;31395;Muret;23923;14,94;23,87;92,05;21,81;;;;;18,62;12,2
31;31424;Plaisance-du-Touch;16249;14,11;27,56;130,3;;;;;;22,72;18,78
31;31446;Ramonville-Saint-Agne;12034;13,1;18,39;152,14;;;;;;19,44;
31;31483;Saint-Gaudens;11587;10,1;23,25;90,32;16,02;;;;;15,81;
31;31483;Saint-Gaudens;0;0;0;0;0;0;;;;;6,76
31;31506;Saint-Orens-de-Gameville;11142;20,21;24,62;145,6;20,6;;;;;20,02;
31;31555;Toulouse;398423;19,55;21,96;84,81;19,69;8,5;;;;20,02;
31;31557;Tournefeuille;25510;13,56;27,96;151,33;20,76;;;;;20,02;
31;31557;Tournefeuille;0;0;0;0;0;0;;;;;15,25
31;31561;L'Union;12291;9,02;14,89;63,58;17,95;8,77;;;;20,02;
32;32013;Auch;23501;16,55;41,93;112,93;23,9;8,17;;;;23,76;
33;33003;Ambarès-et-Lagrave;11488;17,43;26,54;75,17;25,97;;;;;25,52;6,61
33;33009;Arcachon;11854;14,99;22,82;45,47;21,12;;;;;19,45;11,8
33;33039;Bègles;22672;22,9;31,05;75,64;25,97;;;;;25,52;8,26
33;33056;Blanquefort;14734;16,67;21,99;46,8;25,89;;;;;25,52;6,61
33;33063;Bordeaux;218948;22,2;27,14;83,65;26,66;;;;;25,52;8,26
33;33069;Le Bouscat;22669;19,75;26,03;61,87;24,49;;;;;25,52;8,26
33;33075;Bruges;12541;22,33;32,33;71,2;25,28;;;;;25,52;8,26
33;33119;Cenon;21533;22,17;30,87;58,01;26,04;;;;;25,52;8,26
33;33122;Cestas;17170;15,11;19,44;38,94;14,81;;;;;14,89;10,18
33;33162;Eysines;18892;19,58;26,52;62,11;24,57;;;;;25,52;8,11
33;33167;Floirac;16284;21,23;35,75;67,53;26,24;;;;;25,52;8,26
33;33192;Gradignan;22834;21,59;28,13;84,03;25,87;;;;;25,52;8,26
33;33199;Gujan-Mestras;17824;19,93;25,09;38,96;19,48;;;;;19,45;11,8
33;33243;Libourne;22457;19,28;22,88;45,09;24,04;;1,19;1,47;2,91;1,99;13,77
33;33249;Lormont;21765;21,31;31,12;76,52;26,3;;;;;25,52;8,26
33;33281;Mérignac;63300;19,75;27,35;57,76;24,3;;;;;25,52;8,26
33;33318;Pessac;56851;21,17;28,03;49,88;25,01;;;;;25,52;8,26
33;33449;Saint-Médard-en-Jalles;28716;17,15;22,55;57,68;26,05;;;;;25,52;8,26
33;33522;Talence;38421;22,24;31,13;54,76;24,94;;;;;25,52;8,26
33;33529;La Teste-de-Buch;23819;21,3;22,3;57,19;18,45;;;;;19,45;11,8
33;33550;Villenave-d'Ornon;27846;23,64;30,21;82,82;26,2;;;;;25,52;8,26
34;34003;Agde;21516;19,38;23,25;66,35;20,87;;;;;19,94;14,33
34;34032;Béziers;71428;20,75;27,65;63,84;22,03;8,71;;;;21,32;
34;34057;Castelnau-le-Lez;14594;17,44;36,14;127,23;;;;;;22,71;11,3
34;34108;Frontignan;21181;22,64;30,88;112,31;26,28;;;;;27,12;18,5
34;34129;Lattes;15592;18,24;26,97;79,29;;;;;;22,71;11,3
34;34145;Lunel;22582;20,94;39,1;80,66;;;;;;21,4;6,89
34;34154;Mauguio;14974;15,04;18,13;97,63;22,33;;0;0;0;21,91;8,25
34;34172;Montpellier;229055;21,34;29,58;106,94;;;;;;22,71;11,3
34;34301;Sète;40220;28,74;42,12;60,44;28,28;;;;;27,12;18,28
35;35047;Bruz;14743;16,61;17,11;43,84;;;0,949;1,02;2,13;17,4;8,96
35;35051;Cesson-Sévigné;15522;9,25;8,86;25,95;;;0,949;1,02;2,13;17,4;7,82
35;35093;Dinard;10988;16,98;29,2;51,86;14,56;12,98;;;;;
35;35115;Fougères;22819;18,76;21,36;46,4;16,08;;;;;15,52;
35;35236;Redon;10545;16,48;20,24;47,47;;;;;;14,02;8,7
35;35238;Rennes;212494;20,43;23,45;36,54;;;0,949;1,02;2,13;17,4;7,77
35;35281;Saint-Jacques-de-la-Lande;10228;19,97;19,97;54,75;;;0,949;1,02;2,13;17,4;9,84
35;35288;Saint-Malo;52737;17,1;23,76;39,67;16,09;;;;;15,98;11,99
35;35360;Vitré;15908;13,5;15,48;38,98;;;;;;11,9;8,58
36;36044;Châteauroux;52345;18,04;26,02;68,63;17,22;;;;;16,12;10,91
36;36088;Issoudun;14166;7,94;12,77;28,09;9,56;;7,95;12,77;21,56;9,66;
37;37003;Amboise;11968;17,79;26,17;77,84;13,19;;;;;11,5;9,38
37;37050;Chambray-lès-Tours;10576;11,06;16,84;46,52;;;;;;15,27;8,78
37;37109;Fondettes;10645;19,67;24,81;58,35;;;;;;15,27;8,78
37;37122;Joué-lès-Tours;37126;17,28;20,61;50,44;;;;;;15,27;8,78
37;37156;Montlouis-sur-Loire;10659;21,12;27,69;81,96;;;;;;13,25;13,47
37;37195;La Riche;10198;16,98;25,55;57,83;;;;;;15,27;8,78
37;37208;Saint-Avertin;14368;11,51;16,86;42,24;;;;;;15,27;8,78
37;37214;Saint-Cyr-sur-Loire;16421;13,86;16,25;41,77;;;;;;15,27;8,78
37;37233;Saint-Pierre-des-Corps;16236;12,86;19,18;31,43;;;;;;15,27;8,78
37;37261;Tours;137046;20,79;20,82;33,41;;;;;;15,27;8,78
38;38053;Bourgoin-Jallieu;23517;11,76;21,29;62,05;20,76;;;;;17;
38;38053;Bourgoin-Jallieu;0;0;0;0;0;0;;;;;7,79
38;38151;Echirolles;33169;10,35;36,36;87,26;22,9;;;;;21,48;4,87
38;38169;Fontaine;23586;16,84;36,6;73,42;21,92;;;;;21,48;4,78
38;38185;Grenoble;156203;19,74;33,7;77,45;22,02;;;;;21,48;3,46
38;38193;L'Isle-d'Abeau;14662;13,39;31,01;35,24;;;;;;17;
38;38193;L'Isle-d'Abeau;0;0;0;0;0;0;;;;;10,75
38;38229;Meylan;19044;12,58;24,6;72,04;20,66;;;;;21,48;3,55
38;38317;Le Pont-de-Claix;11771;11;30,6;56;20,38;;;;;21,48;5,14
38;38382;Saint-Egrève;15691;13,68;21,25;74,91;21,62;;;;;21,48;4,76
38;38382;Saint-Egrève;0;0;0;0;0;0;2,72;4,22;14,9;0;
38;38421;Saint-Martin-d'Hères;35927;20,08;40,04;92,8;22,49;;;;;21,48;4,38
38;38474;Sassenage;10698;19,2;35,77;81,32;20,81;;;;;21,48;3,85
38;38485;Seyssinet-Pariset;13207;12,48;30,3;76,68;22,2;;;;;21,48;3,8
38;38544;Vienne;30749;19,13;29,05;55,99;17,18;;;;;15,5;7,52
38;38553;Villefontaine;19104;17,46;35,82;107,19;;;;;;17;
38;38553;Villefontaine;0;0;0;0;0;0;;;;;14,82
38;38563;Voiron;20442;13,54;23,8;65,61;16,67;;;;;16,83;9
38;38563;Voiron;0;0;0;0;0;0;0,414;0,728;2,01;0;
39;39198;Dole;26015;11,69;18,39;32,22;11,92;;1,64;2,92;3,69;1,64;11,55
39;39300;Lons-le-Saunier;19966;14,27;24,83;40,07;11,98;;;;;11,22;9,15
39;39478;Saint-Claude;12798;17,35;34,96;47,7;14,06;;1,23;2,49;3,47;12,93;11,58
40;40046;Biscarrosse;12041;16,55;18,55;63,84;18,15;;;;;16,98;
40;40088;Dax;20649;15,8;19,77;28,88;;;;;;18,21;11,16
40;40192;Mont-de-Marsan;32234;18,89;18,71;32,48;19,62;;1,88;1,84;4,12;19,19;8,46
40;40279;Saint-Paul-lès-Dax;12006;15,62;17,35;49,8;;;;;;18,21;10,67
40;40312;Tarnos;10310;15,17;16,12;42,62;20,67;;3,78;5,88;12,78;3,91;
40;40312;Tarnos;0;0;0;0;0;0;0,224;0,238;0,63;0,398;
41;41018;Blois;51832;18,69;30,67;42,13;18,25;;;;;16,71;8,76
41;41194;Romorantin-Lanthenay;19077;16,47;31,9;62,47;13,94;7,5;0,76;1,46;2,77;0,654;
41;41269;Vendôme;18510;15,96;28,24;54,91;;;2,16;3,61;6,75;15,9;12,18
42;42044;Le Chambon-Feugerolles;14202;14,65;24,59;52,58;17,48;;;;;17,2;7,76
42;42095;Firminy;19557;12,18;21,35;31,27;17,48;;;;;17,2;5,92
42;42147;Montbrison;15143;14,55;18,83;31,62;;;;;;14,98;10,32
42;42184;Riorges;10290;11,41;27,84;67,26;18,56;;0,589;1,18;2,81;18,09;8,5
42;42186;Rive-de-Gier;14568;21,05;24,37;73,29;21,6;;;;;17,2;7,25
42;42187;Roanne;40121;11,42;22,94;48,7;18,54;;0,589;1,18;2,81;18,09;8,5
42;42189;Roche-la-Molière;10152;13,2;23,89;42,17;16,66;;;;;17,2;5,83
42;42207;Saint-Chamond;37919;11,83;22;45,64;17,54;;;;;17,2;7,19
42;42207;Saint-Chamond;0;0;0;0;0;0;0,157;0,292;0,605;0;
42;42218;Saint-Etienne;183522;18,38;21,48;38,56;17,71;;;;;17,2;5,77
42;42279;Saint-Just-Saint-Rambert;13344;10,95;22,53;37,28;;;;;;14,98;10,3
43;43157;Le Puy-en-Velay;22010;18,23;25,84;136,57;;;;;;15,08;9,81
44;44020;Bouguenais;15978;19;16,54;81;;;;;;21,62;8,65
44;44026;Carquefou;15684;13,66;11,9;36,24;;;;;;21,62;10,21
44;44035;La Chapelle-sur-Erdre;16805;20,16;17,9;74,34;;;;;;21,62;7,98
44;44036;Châteaubriant;12807;15,32;18,2;40,07;14,86;;;;;13,24;13,18
44;44047;Couëron;18004;18,96;20,42;69,61;;;;;;21,62;9,65
44;44055;La Baule-Escoublac;16416;14,23;17,87;42,89;;;;;;17,74;6,66
44;44069;Guérande;14296;19,63;19,47;61,02;;;;;;17,74;10,92
44;44109;Nantes;277728;21,96;25,13;57,07;;;;;;21,62;12
44;44114;Orvault;24218;24,58;18,26;51,53;;;;;;21,62;8,4
44;44131;Pornic;13369;14,93;15,42;45,53;17,22;;1,09;1,24;3,89;1,31;10,17
44;44143;Rezé;36455;21,05;25,37;54,39;;;;;;21,62;9,04
44;44154;Saint-Brevin-les-Pins;11394;14,5;15,25;31;16,43;;2,42;2,49;6,75;15,94;
44;44162;Saint-Herblain;44822;25,58;21,6;101,93;;;;;;21,62;7,57
44;44172;Sainte-Luce-sur-Loire;11498;21,02;19,2;58,34;;;;;;21,62;9,31
44;44184;Saint-Nazaire;68616;17,51;20,98;64,79;;;;;;16,68;2,9
44;44190;Saint-Sébastien-sur-Loire;26024;19,79;31,22;86;;;;;;21,62;9,18
