Dép.;Code;Nom de la commune;Population;Taux communaux;;;;;Taux intercommunaux;;;;
;;;totale;;;;;;;;;;
;;;au 1/1/2006;taxe d'habitation;foncier bâti;foncier non bâti;taxe professionnelle(*);TEOM;taxe d'habitation;foncier bâti;foncier non bâti;taxe professionnelle(*);TEOM
12;12145;Millau;22 280;19,06;29,98;139,17;-20,46;-;-;-;-;19,58;9,04
12;12176;Onet-le-Château;10 607;8,57;24,19;91,88;-16,68;-;-;-;-;17,4;7,05
12;12202;Rodez;26 367;18,13;28,94;97,73;-19,28;-;-;-;-;17,4;6,99
12;12300;Villefranche-de-Rouergue;13 078;9,92;19,48;82,36;-15,41;-;-;-;-;15,15;7
13;13001;Aix-en-Provence;137 067;18,94;17,64;12,37;-;-;-;-;-;19;6,04
13;13002;Allauch;19 042;19,71;33,24;72,57;-23,14;-;1,95;1,88;2,26;23,43;6,61
13;13004;Arles;51 614;24,33;27,65;55,79;-26,53;12,66;-;-;-;24,22;-
13;13005;Aubagne;43 083;20,06;31,06;46,18;-;-;-;-;-;26,9;7,38
13;13007;Auriol;10 507;20,95;24,19;84,6;-;-;-;-;-;26,9;8,69
13;13014;Berre-l'Etang;13 503;0,01;32,85;0,01;-;-;-;-;-;19,24;10
13;13015;Bouc-Bel-Air;12 430;20,22;23,11;32,75;-;-;-;-;-;19;6,99
13;13026;Châteauneuf-les-Martigues;11 538;11,88;13,7;34,48;-27,06;-;1,95;1,88;2,26;23,43;2,21
13;13027;Châteaurenard;13 131;15,53;22,72;52,46;-;10,3;-;-;-;16,62;-
13;13028;La Ciotat;31 923;25,52;33,76;42;-23,14;-;1,95;1,88;2,26;23,43;8,88
13;13039;Fos-sur-Mer;15 339;0,01;31,54;0,01;-;1,89;-;-;-;26,36;-
13;13041;Gardanne;19 679;20,79;20,96;31,36;28,03;0;-;-;-;-;-
13;13047;Istres;40 965;25,69;28,36;57,5;-;3,04;-;-;-;26,36;-
13;13054;Marignane;34 238;13,45;28,6;29,9;-23,14;-;1,95;1,88;2,26;23,43;11
13;13055;Marseille;807 071;24,85;20,9;21,75;-23,14;-;1,95;1,88;2,26;23,43;14,8
13;13056;Martigues;44 256;16,88;15,63;26,62;-;-;-;-;-;24,71;0
13;13063;Miramas;23 281;24,59;31,89;54,98;-;11,5;-;-;-;26,36;-
13;13071;Les Pennes-Mirabeau;19 247;14,33;25,16;24,66;-;-;-;-;-;19;7,76
13;13075;Plan-de-Cuques;10 544;19,8;23,3;43,13;-23,14;-;1,95;1,88;2,26;23,43;7,42
13;13077;Port-de-Bouc;16 883;20,5;34,9;40;-;-;-;-;-;24,71;-
13;13081;Rognac;11 719;9,88;25,63;20,22;-;-;-;-;-;19,24;10
