Dép.;Code;Nom de la commune;Population;Taux communaux;;;;;Taux intercommunaux;;;;
;;;totale;;;;;;;;;;
;;;au 1/1/2006;taxe d'habitation;foncier bâti;foncier non bâti;taxe professionnelle(*);TEOM;taxe d'habitation;foncier bâti;foncier non bâti;taxe professionnelle(*);TEOM
40;40312;Tarnos;10 310;15,17;16,12;42,62;20,67;-;3,78;5,88;12,78;3,91;-
40;40312;Tarnos;;-;-;-;-;-;0,22;0,23;0,62;0,39;-
41;41018;Blois;51 832;18,69;30,67;42,13;-18,33;-;-;-;-;16,71;8,76
41;41194;Romorantin-Lanthenay;19 077;16,47;31,9;62,47;13,94;7,5;-;-;-;-;-
41;41269;Vendôme;18 510;15,96;28,24;54,91;-;-;2,16;3,61;6,75;15,9;13,63
42;42044;Le Chambon-Feugerolles;14 202;14,65;24,59;52,58;-17,57;-;-;-;-;17,2;7,83
42;42095;Firminy;19 557;12,18;21,35;31,27;-17,56;-;-;-;-;17,2;5,77
42;42147;Montbrison;15 143;14,55;18,83;31,62;-;-;-;-;-;14,98;10,49
42;42184;Riorges;10 290;11,41;27,84;67,26;-18,64;-;0,59;1,18;2,81;18,09;7,95
42;42186;Rive-de-Gier;14 568;21,05;24,37;73,29;-22,69;-;-;-;-;17,2;7,26
42;42187;Roanne;40 121;11,42;22,94;48,7;-18,63;-;0,59;1,18;2,81;18,09;7,95
42;42189;Roche-la-Molière;10 152;12,96;23,47;41,42;-16,54;-;-;-;-;17,2;5,67
42;42207;Saint-Chamond;37 919;11,83;22;45,64;-17,63;-;-;-;-;17,2;7,2
42;42207;Saint-Chamond;;-;-;-;-;-;0,25;0,46;0,95;0;-
42;42218;Saint-Etienne;183 522;18,47;21,59;38,75;-17,85;-;-;-;-;17,2;5,6
42;42279;Saint-Just-Saint-Rambert;13 344;10,83;22,28;36,87;-;-;-;-;-;14,98;10,49
43;43157;Le Puy-en-Velay;22 010;18,23;25,84;136,57;-15,89;-;-;-;-;15,08;9,56
44;44020;Bouguenais;15 978;19;16,54;81;-;-;-;-;-;21,41;8,21
44;44026;Carquefou;15 684;13,66;11,9;36,24;-;-;-;-;-;21,41;9,95
44;44035;La Chapelle-sur-Erdre;16 805;20,16;17,9;74,34;-;-;-;-;-;21,41;7,46
44;44036;Châteaubriant;12 807;15,79;18,2;41,31;-15,3;-;-;-;-;13,44;12,99
44;44047;Couëron;18 004;18,96;20,42;69,61;-;-;-;-;-;21,41;9,33
44;44055;La Baule-Escoublac;16 416;13,49;16,89;40,66;-17,79;-;-;-;-;17,74;6
44;44055;La Baule-Escoublac;;-;-;-;-;-;0,57;0,72;1,73;0;-
44;44069;Guérande;14 296;19,25;19,09;59,83;-17,96;-;-;-;-;17,74;10,83
44;44109;Nantes;277 728;21,96;25,13;57,07;-;-;-;-;-;21,41;11,95
44;44114;Orvault;24 218;24,36;18,1;51,07;-;-;-;-;-;21,41;7,93
44;44131;Pornic;13 369;15,11;15,6;46,06;17,32;-;1,07;1,22;3,82;1,28;10,2
44;44143;Rezé;36 455;21,05;25,37;54,39;-;-;-;-;-;21,41;8,65
44;44154;Saint-Brevin-les-Pins;10 845;14,5;15,25;31;-16,56;-;1,41;1,45;3,94;15,94;-
44;44162;Saint-Herblain;44 822;25,58;21,6;101,93;-;-;-;-;-;21,41;7,01
44;44172;Sainte-Luce-sur-Loire;11 498;20,87;18,92;57,93;-;-;-;-;-;21,41;8,95
44;44184;Saint-Nazaire;68 616;17,34;20,98;64,79;-17,36;-;-;-;-;16,46;2,48
44;44190;Saint-Sébastien-sur-Loire;26 024;19,79;31,22;86;-;-;-;-;-;21,41;8,8
44;44215;Vertou;20 773;18,31;19,85;68,22;-;-;-;-;-;21,41;7,84
45;45004;Amilly;12 227;20,5;30,34;73,72;-;-;-;-;-;18,95;-
45;45004;Amilly;;-;-;-;-;-;0,09;0,13;0,32;0;-
45;45068;Châlette-sur-Loing;14 359;21,09;29,95;68,07;-;-;-;-;-;18,95;-
45;45068;Châlette-sur-Loing;;-;-;-;-;-;0,14;0,19;0,44;0;-
45;45147;Fleury-les-Aubrais;20 875;22,72;37,63;86,54;-17,74;-;-;-;-;18;8,73
45;45155;Gien;16 125;14,19;20;48,68;-;-;-;-;-;12,13;15,53
45;45208;Montargis;16 427;20,7;35,22;44,75;-;-;-;-;-;18,95;-
45;45208;Montargis;;-;-;-;-;-;0,1;0,16;0,21;0;-
45;45232;Olivet;20 450;17,04;28,13;79,72;-18,15;-;-;-;-;18;8,73
45;45234;Orléans;116 559;20,99;29,81;39,6;-19,35;-;-;-;-;18;8,73
45;45284;Saint-Jean-de-Braye;18 395;15,78;28,16;39,03;-18,43;-;-;-;-;18;8,73
45;45285;Saint-Jean-de-la-Ruelle;17 010;15,97;32,71;82,45;-19,56;-;-;-;-;18;8,73
45;45302;Saran;15 053;15,11;28,02;65,55;-20,12;-;-;-;-;18;8,73
46;46042;Cahors;21 432;14,4;33,27;151,26;-;-;-;-;-;17,67;11,13
46;46102;Figeac;10 482;10,91;22,74;161,03;-18,16;-;-;-;-;17,99;9,95
47;47001;Agen;32 180;19,14;33,52;71,98;-16,88;-;-;-;-;17,41;6,15
47;47157;Marmande;17 674;14,33;37,83;107,77;-18,15;-;-;-;-;17,78;8,62
47;47323;Villeneuve-sur-Lot;24 134;17,2;37;123,72;-19,53;-;-;-;-;17,81;9,03
48;48095;Mende;13 103;12,49;28,67;198,8;-14,8;-;-;-;-;14,79;8,91
49;49007;Angers;156 327;16,9;31,49;36,83;-;-;-;-;-;17,7;7,89
49;49015;Avrillé;13 267;16,12;28,7;42,34;-;-;-;-;-;17,7;7,79
49;49099;Cholet;56 320;14;23,49;39,77;-;-;-;-;-;14,64;10,61
49;49246;Les Ponts-de-Cé;12 038;13,93;24,5;48,07;-16,03;-;-;-;-;17,7;9,92
49;49267;Saint-Barthélemy-d'Anjou;10 231;14,6;23,3;53,16;-;-;-;-;-;17,7;8,23
49;49328;Saumur;31 700;15,41;22,51;42,98;-13,08;-;-;-;-;12,15;11,36
49;49353;Trélazé;11 156;14,98;29,98;63,92;-;-;-;-;-;17,7;9,36
50;50129;Cherbourg-Octeville;44 108;13,32;19,43;40,99;12,41;-;8,13;10,95;27,16;6,25;11,5
50;50147;Coutances;11 479;14,84;19,7;42,51;-12,62;8;0,74;1,03;1,83;12,56;-
50;50173;Equeurdreville-Hainneville;18 565;9,56;15,82;39,45;12,62;-;8,13;10,95;27,16;6,25;11,5
50;50218;Granville;13 486;12,79;21,5;46,33;13,94;-;1,83;3,24;5,01;1,98;10,38
50;50502;Saint-Lô;21 585;14,08;17,81;39,71;12,17;-;3,18;4,25;4,95;2,58;7,98
50;50602;Tourlaville;17 918;8,94;14,68;38,3;8,17;-;8,13;10,95;27,16;6,25;11,5
51;51108;Châlons-en-Champagne;50 338;29,06;28,1;40,85;-17,75;-;-;-;-;16,31;10,12
51;51230;Epernay;27 033;20,59;24,8;33,45;17,2;-;9,58;7,64;7,11;4;-
51;51454;Reims;191 325;20,55;30,41;30,42;-21,59;-;-;-;-;20,85;-
51;51573;Tinqueux;10 221;16,11;15,71;28,2;-16,13;-;-;-;-;20,85;-
51;51649;Vitry-le-François;17 234;24,61;27,1;24,49;-12,59;-;-;-;-;11,45;6,76
52;52121;Chaumont;28 365;18,43;34,24;47,99;15,59;14,8;0,59;1,09;0,92;0,48;-
52;52269;Langres;10 392;14,85;25,92;40,76;13,1;12,53;0,76;1,4;1,5;0,62;-
52;52448;Saint-Dizier;32 707;11,27;24,21;32,58;-14,72;-;0,69;1,28;1,51;14,38;9
53;53062;Château-Gontier;11 708;11,41;19,65;39,67;-15,36;-;2,53;4,35;7,63;15,33;7,34
53;53130;Laval;54 379;17,96;22,97;32,35;-;-;-;-;-;13,9;8,12
53;53147;Mayenne;14 627;13,27;20,02;42,86;-14,58;-;-;-;-;14,42;7,14
53;53147;Mayenne;;-;-;-;-;-;0,02;0,03;0,06;0;-
54;54274;Jarville-la-Malgrange;10 087;10,89;12,16;18,47;-19,19;-;7,57;7,81;9,98;20,7;8,76
54;54304;Laxou;15 898;7,81;8,02;14,3;-19,27;-;7,57;7,81;9,98;20,7;8,76
54;54323;Longwy;14 890;13,14;21,08;18,9;12,38;-;4,98;6,15;9,33;4,05;-
54;54329;Lunéville;21 112;19,63;25,34;50,22;-15,63;-;0;0;0;13,48;13,03
54;54395;Nancy;105 830;11,44;12,46;17,55;-22,44;-;7,57;7,81;9,98;20,7;8,76
54;54431;Pont-à-Mousson;15 018;8,9;13,04;27,3;-17,53;-;-;-;-;17,66;7,7
54;54482;Saint-Max;11 038;8,29;8,4;12,93;-19,89;-;7,57;7,81;9,98;20,7;8,76
54;54528;Toul;17 419;15,09;15,63;8,05;12,18;-;2,31;2,43;1,79;1,96;10,17
54;54547;Vandoeuvre-lès-Nancy;32 473;11,43;12,03;12,08;-20,84;-;7,57;7,81;9,98;20,7;8,76
54;54578;Villers-lès-Nancy;16 039;7,79;7,7;4,93;-22,01;-;7,57;7,81;9,98;20,7;8,76
55;55029;Bar-le-Duc;18 079;18,21;31,74;55,45;-11,94;-;-;-;-;10,86;10,38
55;55545;Verdun;21 267;1,88;4,16;8,86;2,85;-;12,77;18,25;30,3;11,71;5,94
56;56007;Auray;11 322;15,88;27,42;59,84;-12,09;-;-;-;-;10,69;9,52
56;56083;Hennebont;13 842;15,83;32,9;63,06;-16,31;-;-;-;-;15,9;5,46
56;56098;Lanester;23 144;15,36;27,63;48,83;-16,19;-;-;-;-;15,9;6,67
56;56121;Lorient;61 844;17,51;31,67;67,13;-16,09;-;-;-;-;15,9;7,46
56;56162;Ploemeur;19 169;16,51;29,36;42,11;-15,89;-;-;-;-;15,9;6,44
56;56178;Pontivy;15 044;14,46;25,89;52,56;-12,98;-;-;-;-;11,01;7,5
56;56206;Saint-Avé;10 549;13,99;21,69;38,54;-14,74;-;-;-;-;14,76;8,61
56;56260;Vannes;54 773;14,82;18,42;48,67;-14,81;-;-;-;-;14,76;8,82
57;57058;Behren-lès-Forbach;10 188;12,25;13,7;38,58;-11,77;-;-;-;-;14,46;18,46
57;57160;Creutzwald;14 614;7,91;9,89;37,6;-;-;0,86;1,04;3,81;7,97;7,2
57;57206;Fameck;12 822;14,01;12,09;100;-13,15;-;0;0;0;12,22;7,48
57;57221;Florange;10 900;13,37;8,5;45,58;-11,21;-;0;0;0;12,22;7,48
57;57227;Forbach;23 281;19,77;21,42;76,44;-15,22;-;-;-;-;14,46;13,6
57;57240;Freyming-Merlebach;14 691;16,63;16,92;64,79;-18,31;-;-;-;-;13,5;-
57;57306;Hayange;15 459;16,75;14,7;87,9;-13,5;-;0;0;0;12,22;7,48
57;57447;Marly;10 330;13,79;12,81;67,53;-13,88;-;-;-;-;15,63;7,66
57;57463;Metz;127 498;17,06;15,62;70,35;-16,9;-;-;-;-;15,63;9,88
57;57480;Montigny-lès-Metz;24 420;14,1;13,45;62,91;-13,78;-;-;-;-;15,63;10,4
57;57591;Rombas;10 837;14,92;14,6;95,14;18,42;-;0,85;0,96;4,72;0,84;10,39
57;57606;Saint-Avold;17 473;14,58;5,51;63,98;9,88;-;0,77;0,46;3,02;0,56;-
57;57630;Sarrebourg;14 044;8,8;10,43;25,31;9,86;-;0,9;1,08;3,46;0,94;5,26
57;57631;Sarreguemines;23 774;16,46;19,76;42,33;-16,45;-;-;-;-;14,43;10,99
57;57660;Stiring-Wendel;13 255;12,47;13,4;40,82;-14,51;-;-;-;-;14,46;18,24
57;57672;Thionville;42 205;19,52;19,06;80,93;-16,21;8,17;-;-;-;14,94;-
57;57751;Woippy;13 867;11,63;9,83;61,15;-12,97;-;-;-;-;15,63;10
57;57757;Yutz;14 867;15,46;24,31;78,14;-15,15;10,25;-;-;-;14,94;-
58;58086;Cosne-Cours-sur-Loire;11 834;11,9;19,1;83,85;-13,03;-;-;-;-;12,92;8,46
58;58194;Nevers;43 082;20,72;28,18;95,25;-17,03;-;-;-;-;15,32;6,35
58;58303;Varennes-Vauzelles;10 489;9,57;14,34;62,51;-11,84;-;-;-;-;15,32;5,09
59;59009;Villeneuve-d'Ascq;65 706;30,56;28,38;87,04;-24,72;-;-;-;-;22,93;15,23
59;59014;Anzin;14 238;19,82;23,21;88,78;-21,98;-;-;-;-;18,35;11,78
59;59014;Anzin;;-;-;-;-;-;5,2;6,09;23,3;0;-
59;59017;Armentières;25 979;31,92;28,68;48,52;-25,56;-;-;-;-;22,93;15,23
59;59043;Bailleul;14 415;26,81;18;49,86;-;-;-;-;-;14,97;21,7
59;59043;Bailleul;;-;-;-;-;-;0,61;0,41;1,14;0;-
59;59090;Bondues;10 841;30,98;24,21;50,92;-22,61;-;-;-;-;22,93;15,23
59;59090;Bondues;;-;-;-;-;-;0,58;0,45;0,96;0;-
59;59112;Bruay-sur-l'Escaut;11 947;20,23;40,14;76,94;-19,78;-;-;-;-;18,35;11,78
59;59122;Cambrai;34 993;22,99;18,12;28,66;-;-;-;-;-;14,18;9,65
59;59139;Caudry;13 697;19,37;19,51;44,4;-19,39;-;-;-;-;18,42;16,6
59;59152;Comines;12 008;31,91;21,45;67,76;-23,69;-;-;-;-;22,93;-
59;59152;Comines;;-;-;-;-;-;0,33;0,22;0,71;0;15,23
59;59153;Condé-sur-l'Escaut;10 607;45,06;50,28;124,42;-25,62;-;-;-;-;18,35;11,78
59;59155;Coudekerque-Branche;24 487;31,14;34,64;96,73;-24,49;-;-;-;-;24,46;17,29
59;59155;Coudekerque-Branche;;-;-;-;-;-;3,85;4,28;12;0;-
59;59163;Croix;20 832;31,86;22,53;26,16;-22,7;-;-;-;-;22,93;15,23
59;59172;Denain;20 584;24,18;26,06;67,22;-23,57;-;-;-;-;19,14;-
59;59172;Denain;;-;-;-;-;-;0,87;0,94;2,43;0;0
59;59178;Douai;44 742;21,84;21,84;44,14;-14,11;-;-;-;-;12,83;12,17
59;59179;Douchy-les-Mines;10 497;20,05;28,72;97,66;-24,08;-;-;-;-;19,14;-
59;59179;Douchy-les-Mines;;-;-;-;-;-;0,37;0,53;1,81;0;0
59;59183;Dunkerque;72 333;29,46;28,06;82,98;-25,09;-;-;-;-;24,46;-
59;59183;Dunkerque;;-;-;-;-;-;1,35;1,29;3,81;0;17,29
59;59220;Faches-Thumesnil;15 979;33,13;28,96;44,54;-24,34;-;-;-;-;22,93;15,23
59;59249;Fourmies;14 231;25,53;25,65;75,98;-23,7;-;0;0;0;23,55;-
59;59249;Fourmies;;-;-;-;-;-;1,56;1,57;4,65;0;-
59;59271;Grande-Synthe;23 560;26,99;19,03;114,78;-24,23;-;-;-;-;24,46;17,29
59;59273;Gravelines;12 769;24,15;28,56;81;-24,21;-;-;-;-;24,46;17,29
59;59273;Gravelines;;-;-;-;-;-;0,9;1,07;3,03;0;-
59;59279;Halluin;19 067;29,86;27,51;52,17;-22,8;-;-;-;-;22,93;15,23
59;59279;Halluin;;-;-;-;-;-;0,09;0,08;0,16;0;-
59;59286;Haubourdin;15 086;32,5;18,61;69,14;-21,14;-;-;-;-;22,93;15,23
59;59286;Haubourdin;;-;-;-;-;-;2,47;1,42;5,27;0;-
59;59291;Hautmont;16 201;25,57;26,69;82,92;-14,11;-;-;-;-;13,67;-
59;59295;Hazebrouck;22 114;19,82;14,12;43,62;15,19;-;0,36;0,26;0,8;0,53;16,11
59;59299;Hem;19 814;29,8;25,9;59,5;-22,32;-;-;-;-;22,93;15,23
59;59324;Jeumont;10 953;29,14;37,13;79,85;-18,6;-;-;-;-;17,62;-
59;59328;Lambersart;28 369;40;29,98;42,47;-24,46;-;-;-;-;22,93;15,23
59;59328;Lambersart;;-;-;-;-;-;1,14;0,86;1,21;0;-
59;59350;Lille;219 597;34;24,03;16,65;-23,13;-;-;-;-;22,93;15,23
59;59360;Loos;21 447;29,85;26,74;72,89;-23,63;-;-;-;-;22,93;15,23
59;59360;Loos;;-;-;-;-;-;1,83;1,64;4,47;0;-
59;59367;Lys-lez-Lannoy;13 146;25,82;27,42;51,49;-22,12;-;-;-;-;22,93;15,23
59;59368;La Madeleine;22 696;26,94;26,93;14,62;-22,64;-;-;-;-;22,93;15,23
59;59378;Marcq-en-Baroeul;37 679;29,19;15,1;20,61;-22,36;-;-;-;-;22,93;15,23
59;59383;Marly;11 788;17,78;27,06;57,17;-18,77;-;-;-;-;18,35;11,78
59;59386;Marquette-lez-Lille;10 859;41,65;38,89;64,32;-25,35;-;-;-;-;22,93;15,23
59;59386;Marquette-lez-Lille;;-;-;-;-;-;1,93;1,8;2,97;0;-
59;59392;Maubeuge;34 051;30,07;26,19;46,63;-17,35;-;-;-;-;17,62;-
59;59410;Mons-en-Baroeul;23 135;19,04;17,43;48,85;-20,78;-;-;-;-;22,93;15,23
59;59421;Mouvaux;13 341;30,37;19,42;78,75;-22,35;-;-;-;-;22,93;15,23
59;59491;Raismes;13 811;18,49;32,99;89,38;-23,75;-;-;-;-;19,14;-
59;59491;Raismes;;-;-;-;-;-;3,93;7,01;19;0;-
59;59507;Ronchin;18 105;28,05;20,8;57,13;-22,89;-;-;-;-;22,93;15,23
59;59508;Roncq;12 794;32,12;31,02;52,39;-22,73;-;-;-;-;22,93;15,23
59;59512;Roubaix;98 039;31,79;29,12;66,82;-25,02;-;-;-;-;22,93;15,23
59;59512;Roubaix;;-;-;-;-;-;2,11;1,93;4,43;0;-
59;59526;Saint-Amand-les-Eaux;17 331;25,4;35,61;85,95;-21,36;-;-;-;-;19,14;0
59;59527;Saint-André-lez-Lille;10 220;35,91;23,97;30,51;-;-;-;-;-;22,93;15,23
59;59527;Saint-André-lez-Lille;;-;-;-;-;-;1,12;0,75;0,95;0;-
59;59540;Saint-Pol-sur-Mer;23 618;33,84;36,55;87,39;-24,98;-;-;-;-;24,46;17,29
59;59540;Saint-Pol-sur-Mer;;-;-;-;-;-;4,57;4,94;11,8;0;-
59;59544;Saint-Saulve;11 188;15,1;17,27;53,18;-16,34;-;-;-;-;18,35;11,78
59;59560;Seclin;12 192;25;25;43;-23,81;-;-;-;-;22,93;15,23
59;59560;Seclin;;-;-;-;-;-;0,23;0,23;0,4;0;-
59;59569;Sin-le-Noble;17 134;23,1;21,33;47,75;-14,9;-;-;-;-;12,83;2,79
59;59574;Somain;12 129;19,85;27,09;71,52;-17,61;-;-;-;-;19,21;8,4
59;59574;Somain;;-;-;-;-;-;0,3;0,41;1,09;0;-
59;59599;Tourcoing;94 204;35,17;31,7;49,5;-24,28;-;-;-;-;22,93;15,23
59;59599;Tourcoing;;-;-;-;-;-;0,25;0,22;0,34;0;-
59;59606;Valenciennes;42 343;34,22;28,91;54,78;-20,75;-;-;-;-;18,35;11,78
59;59606;Valenciennes;;-;-;-;-;-;0,37;0,31;0,59;0;-
59;59616;Vieux-Condé;10 764;33,94;39,38;124,33;-24,77;-;-;-;-;18,35;11,78
59;59646;Wasquehal;18 716;34,37;30,94;69,1;-25,36;-;-;-;-;22,93;15,23
59;59646;Wasquehal;;-;-;-;-;-;3,63;3,25;7,64;0;-
59;59648;Wattignies;14 617;29,31;24,24;52,9;-22,78;-;-;-;-;22,93;15,23
59;59650;Wattrelos;42 984;33,11;47,59;113,52;-25,41;-;-;-;-;22,93;15,23
60;60057;Beauvais;57 355;15,37;33,02;63,48;-16,85;-;-;-;-;15,67;-
60;60141;Chantilly;11 200;10,44;14,09;30,23;14,37;-;1,25;1,54;2,87;1,27;8,87
60;60159;Compiègne;43 380;12,59;22,87;50,96;-13,33;-;-;-;-;11,85;9
60;60175;Creil;31 947;19,21;21,01;82,15;14,86;-;5,13;9,29;32,71;3,76;-
60;60176;Crépy-en-Valois;14 704;10,75;25,95;72,91;13,46;-;1,89;3,67;7,25;2,24;9,55
60;60395;Méru;12 901;16,66;36,21;69,47;-14,85;-;-;-;-;13,65;12,95
60;60414;Montataire;12 173;7,63;32,4;77,42;15,44;-;5,13;9,29;32,71;3,76;-
60;60463;Nogent-sur-Oise;19 659;14,35;27,45;53,01;15,73;-;5,13;9,29;32,71;3,76;-
60;60471;Noyon;14 879;13,88;24,69;56,8;-;-;4,98;8,85;19,31;3,61;-
60;60509;Pont-Sainte-Maxence;12 587;15,25;17,79;76,82;-15,7;-;-;-;-;13,76;13,7
60;60612;Senlis;17 192;14,21;22,9;50,48;13,79;-;0,5;0,85;1,52;0,47;13
61;61001;Alençon;30 379;6,02;11,8;25,87;7,12;-;7,48;10,59;22,12;5,7;8,17
61;61006;Argentan;17 448;15,97;26,88;64,43;-15;-;0,96;1,71;2,2;14,93;11,16
61;61169;Flers;17 552;14,34;24,91;71,43;-;-;-;-;-;11,93;7,93
62;62014;Aire-sur-la-Lys;10 011;16,47;19,59;43,56;13,56;-;6,93;8,89;16,16;5,67;9,65
62;62041;Arras;43 566;19,58;21,66;51,91;-19,34;-;4,51;5,12;12,16;18,27;11,12
62;62048;Auchel;11 525;21,09;31,98;67,59;-21,24;-;-;-;-;14,95;-
62;62048;Auchel;;-;-;-;-;-;3,1;4,7;9,93;0;-
62;62065;Avion;18 422;22,91;36,85;93,54;-21,66;-;-;-;-;20,73;-
62;62108;Berck;15 011;15,93;29,93;92,91;-24,45;-;0,69;1,21;2,08;21,86;12,99
62;62119;Béthune;28 522;25,79;41,14;79,1;-18,51;-;-;-;-;14,95;-
62;62160;Boulogne-sur-Mer;45 508;30,14;32,62;67,08;-22,27;8,79;0;0;0;21,72;-
62;62178;Bruay-la-Buissière;24 552;18,44;40,7;36,39;-22,91;-;-;-;-;14,95;-
62;62186;Bully-les-Mines;12 157;15,58;31,15;78,1;-21,94;-;-;-;-;20,73;-
62;62193;Calais;78 170;24,64;18,56;45,36;-16,68;12,06;-;-;-;15,7;-
62;62215;Carvin;17 891;15,57;29,84;100,77;-23,67;-;1,06;2,11;6,73;23,75;-
62;62250;Courrières;10 682;14,2;24,38;101,12;-25,66;-;1,06;2,11;6,73;23,75;-
62;62318;Etaples;11 316;18,89;24,83;56,75;-14,33;-;-;-;-;15,4;10,7
62;62413;Harnes;13 797;9,68;27,1;87,18;-21,63;-;-;-;-;20,73;-
62;62427;Hénin-Beaumont;25 610;22,1;38,97;85,62;-24,78;-;1,06;2,11;6,73;23,75;-
62;62498;Lens;36 823;18,21;34,4;84,73;-21,46;-;-;-;-;20,73;-
62;62510;Liévin;33 943;21,31;46,77;66,83;-24,69;-;-;-;-;20,73;-
62;62525;Longuenesse;13 292;18,93;19,3;55,36;-13,96;-;-;-;-;13,64;7,62
62;62570;Méricourt;11 819;18,71;42,31;107,27;-19,9;-;-;-;-;20,73;-
62;62587;Montigny-en-Gohelle;10 638;19,6;32,54;78,37;-23,77;-;1,06;2,11;6,73;23,75;-
62;62617;Noeux-les-Mines;12 069;8,6;33,04;85,8;14,11;-;4,1;7,22;20,38;4,46;-
62;62617;Noeux-les-Mines;;-;-;-;-;-;0,16;0,61;1,61;0,41;-
62;62637;Oignies;10 587;14,04;36,14;82,96;-24,7;-;1,06;2,11;6,73;23,75;-
62;62643;Outreau;15 442;27,22;29,13;64,32;-21,75;-;0;0;0;21,72;-
62;62667;Le Portel;10 866;25,96;40,35;72,47;-22,73;4,9;0;0;0;21,72;-
62;62758;Saint-Martin-Boulogne;11 820;24,11;27,03;57,93;-22,39;3,8;0;0;0;21,72;-
62;62765;Saint-Omer;16 595;25,07;26,45;48,06;-15,74;-;-;-;-;13,64;8,37
62;62771;Sallaumines;10 748;17,69;40,52;56,55;-22,67;-;-;-;-;20,73;-
63;63014;Aubière;10 104;10,37;14,08;58,31;-14,42;-;-;-;-;15,52;6,48
63;63032;Beaumont;10 947;11,8;18,97;81,09;-13,75;-;-;-;-;15,52;6,48
63;63075;Chamalières;18 802;11,96;21,43;41,2;-14,19;-;-;-;-;15,52;6,26
63;63113;Clermont-Ferrand;141 004;16,93;20,76;51,38;-15,71;-;-;-;-;15,52;6,33
63;63124;Cournon-d'Auvergne;19 292;19,59;20,9;141,43;-18,18;-;-;-;-;15,52;6,86
63;63164;Gerzat;10 408;13,82;17,65;78,97;-15,66;-;-;-;-;15,52;7,11
63;63178;Issoire;14 778;11,77;16,97;102,26;-12,84;-;-;-;-;12,83;9,34
63;63284;Pont-du-Château;10 379;15,5;15,2;107,3;-16,52;-;-;-;-;15,52;8,05
63;63284;Pont-du-Château;;-;-;-;-;-;0,08;0,08;0,54;0;-
63;63300;Riom;19 324;16,72;26,03;84,2;-14,42;-;-;-;-;14,07;9,92
63;63300;Riom;;-;-;-;-;-;0,05;0,08;0,25;0;-
63;63430;Thiers;13 950;13,67;23,77;89,03;15,95;-;0,24;0,42;1,45;0,28;9,16
64;64024;Anglet;36 742;20,64;13,86;26,7;-20,13;-;-;-;-;22,43;8,67
64;64102;Bayonne;41 778;25,69;18,4;47,58;-23,95;-;-;-;-;22,43;8,67
64;64122;Biarritz;30 739;18,68;13,82;23,78;-23,35;-;-;-;-;22,43;8,67
64;64122;Biarritz;;-;-;-;-;-;1,32;0,98;1,68;0;-
64;64129;Billère;13 668;15,25;20,81;37,71;-;-;-;-;-;24,65;8,4
64;64260;Hendaye;12 966;13,03;12;30,53;-14,72;8,03;-;-;-;13,83;-
64;64260;Hendaye;;-;-;-;-;-;0,96;0,88;2,24;0;-
64;64335;Lescar;10 342;11,31;10,69;61,3;-;-;-;-;-;24,65;8,4
64;64348;Lons;13 008;9,42;16,52;30,75;-;-;-;-;-;24,65;8,4
64;64422;Oloron-Sainte-Marie;11 740;8,14;10,4;26,66;-16,78;-;-;-;-;14,62;9,5
64;64430;Orthez;10 936;14,76;19,48;43,49;-17,02;-;-;-;-;16,77;7,73
64;64445;Pau;80 610;23,66;25,1;55,31;-;-;-;-;-;24,65;8,56
64;64483;Saint-Jean-de-Luz;13 632;9,81;9,6;16,34;-12,59;-;-;-;-;13,83;-
64;64483;Saint-Jean-de-Luz;;-;-;-;-;-;0,95;0,93;1,58;0;6,02
65;65286;Lourdes;15 679;10,87;16,06;26,78;-15,45;-;-;-;-;15,13;10,25
65;65440;Tarbes;49 343;19,33;25,89;77,48;-;-;-;-;-;18,09;10,56
66;66037;Canet-en-Roussillon;11 351;14,71;19,21;44,25;-;-;-;-;-;19,4;11,71
66;66136;Perpignan;107 241;16,68;24,44;37,26;-;-;-;-;-;19,4;8,22
66;66172;Saint-Estève;11 066;12,62;18,19;43,91;-;-;-;-;-;19,4;11,37
67;67043;Bischheim;16 964;23,71;23;87,24;-17,58;-;-;-;-;18,52;10,7
67;67046;Bischwiller;11 753;13,42;11,52;38,1;13,31;-;4,13;3,64;14,57;4,59;-
67;67180;Haguenau;33 943;13,93;11,25;56;-9,53;-;-;-;-;9,54;-
67;67204;Hoenheim;10 767;16,98;16,8;69,73;-16,57;-;-;-;-;18,52;10,7
67;67218;Illkirch-Graffenstaden;25 183;17,03;14,91;59;-18,55;-;-;-;-;18,52;10,7
67;67267;Lingolsheim;16 944;17,03;13,71;55,68;-18;-;-;-;-;18,52;10,7
67;67348;Obernai;11 070;13,99;9,99;46,01;6,52;-;2,09;1,61;7,9;1,43;-
67;67348;Obernai;;-;-;-;-;-;0,28;0,2;0,9;0,17;-
67;67365;Ostwald;10 820;16,99;13,87;60,8;-16,17;-;-;-;-;18,52;10,7
67;67437;Saverne;11 534;9,43;12,93;33,37;-10,45;-;1,25;1,48;5,45;9;-
67;67437;Saverne;;-;-;-;-;-;0,2;0,28;0,72;0;-
67;67447;Schiltigheim;30 991;18,93;15,22;44,22;-17,19;-;-;-;-;18,52;10,7
67;67462;Sélestat;17 514;12,79;11,93;42,95;12,17;-;3,2;3,27;12,29;3,14;-
67;67482;Strasbourg;267 051;24,06;21,3;68,69;-20,09;-;-;-;-;18,52;10,7
68;68063;Cernay;10 790;6,9;8,84;37,5;8,3;-;2,12;2,7;18,21;2,37;-
