Dép.;Siren;Nom du groupement;Taxe d'habitation;Taxe du foncier bâti;Taxe du foncier non bâti;Taxe profession-nelle
972;249720061;CA du Centre de la Martinique;;;;13,99
974;249740077;CA CIVIS (Communauté Villes Solidaires);;;;20,91
974;249740093;CA Intercommunale de la Réunion Est (CIREST);;;;22,68
974;249740101;CA Territoire de la Côte Ouest (TCO);;;;17,38
974;249740119;CA Intercommunale du Nord de la Réunion (CINOR);;;;15,70
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
