;;;Taux votés par les communautés d'agglomérations en 2006;;;
;;;en pourcentage;;;
N° du département;N° siren;Nom du groupement;Taxe d'habitation;Foncier bâti;Foncier non bâti;Taxe professionnelle
64;246401723;CA de Pau - Pyrénées;;;;24,65
65;246500565;CA du Grand Tarbes (CAGT);;;;18,09
66;246600381;CA Perpignan Méditerranée;;;;19,4
68;246800619;CA Mulhouse Sud Alsace;0,767;1,02;3,14;17,98
68;246800726;CA de Colmar;;;;11,95
69;246900229;CA de Villefranche-sur-Saône;;;;13,5
71;247100589;CA Chalon - Val de Bourgogne;;;;14,2
71;247104193;CA du Mâconnais- Val de Saône;;;;16,01
73;247300098;CA Chambéry Métropole;;;;19,09
74;247400427;CA Annécienne;;;;19,17
76;247600042;CA Elbeuf - Boucle de Seine;;;;13,98
76;247600471;CA Rouennaise;;;;16,02
76;247600596;CA Havraise- CODH;;;;15,69
76;247600786;CA de la Région Dieppoise;;;;12,46
77;247700057;CA Melun Val de Seine;;;;15,21
77;247700594;CA de Marne et Gondoire;;;;12,85
77;247700628;CA du Pays de Meaux;;;;14,69
78;247800014;CA de Mantes en Yvelines (CAMY);;;;18,18
78;247800451;CA de Saint Quentin en Yvelines;;;;18,4
79;247900806;CA de Niort;;;;16,38
80;248000531;CA Amiens Métropole;;;;15,27
81;248100430;CA de Castres Mazamet;;;;19,32
81;248100737;CA de l’Albigeois;;;;22,3
82;248200099;CA du Pays de Montauban et des Trois Rivières;0,2;0,45;1,61;18,02
83;248300097;CA de Fréjus - Saint Raphaël;;;;12,86
83;248300493;CA Dracénoise;;;;18,3
83;248300543;CA Toulon Provence Méditerranée;0,248;0,343;0,838;25,77
84;248400053;CA Ventoux Comtat Venaissin;;;;22,92
84;248400251;CA du Grand Avignon;;;;24,3
86;248600157;CA de Poitiers;;;;17,84
86;248600413;CA du Pays Châtelleraudais;;;;19,24
87;248719312;CA de Limoges Métropole;;;;15,93
90;249000019;CA Belfortaine;;;;17,88
91;249100348;CA d'Évry Centre Essonne;;;;16,22
91;249100405;CA du Plateau de Saclay;;;;15,69
91;249100470;CA de Seine-Essonne;;;;15,8
91;249100504;CA du Val d’Orge;;;;19,54
91;249100512;CA du Val d'Yerres;0,488;0,583;1,68;15,66
91;249100520;CA Sénart Val de Seine;;;;14,86
91;249100579;CA Les Lacs de l'Essonne;;;;22,95
92;249200015;CA des Hauts de Bièvre;;;;11,97
92;249200023;CA Arc de Seine;;;;12,71
92;249200031;CA Val-de-Seine;;;;8,99
92;249200049;CA Coeur de Seine;;;;7,5
92;249200056;CA Sud de Seine;;;;12,74
93;249300070;CA de Clichy sous Bois - Montfermeil;;;;22,36
93;249300088;CA Plaine Commune;;;;21,7
94;249400060;CA Val de Bièvre;;;;23,18
94;249400078;CA de la Vallée de la Marne;;;;21,55
94;249400086;CA le Haut Val de Marne;;;;18,24
94;249400094;CA Plaine Centrale du Val de Marne;;;;24,23
95;200000776;CA Argenteuil - Bezons;;;;19,66
